#TYPE Selected.Microsoft.ActiveDirectory.Management.ADComputer
"distinguishedName";"Name";"OperatingSystem";"OperatingSystemVersion";"description";"OperatingSystemServicePack";"IPv4Address";"LastLogonDate";"PasswordLastSet"
"CN=YAOUPDDK101,CN=Computers,DC=sabc,DC=cm";"YAOUPDDK101";"Windows Server 2019 Standard";"10.0 (17763)";"Relais D?ploiement d'applications-WINSRV19-10.97.1.5";;"10.97.240.37";"24/09/2025 08:52:25";
"CN=SABCWEB101,CN=Computers,DC=sabc,DC=cm";"SABCWEB101";"Windows Server 2019 Standard";"10.0 (17763)";"BI-Service d'aide ? la d?cision Prevente-WINSRV19-10.100.1.245";;"10.103.244.48";"21/09/2025 19:52:55";
"CN=SOCABACK101,CN=Computers,DC=sabc,DC=cm";"SOCABACK101";"Windows Server 2019 Standard";"10.0 (17763)";"Sauvegarde  serveurs X86 SOCAVER-WINSRV19-10.102.1.11";;"10.102.1.11";"21/09/2025 20:18:04";
"CN=SEMCUPCUT101,CN=Computers,DC=sabc,DC=cm";"SEMCUPCUT101";"Windows Server 2019 Standard";"10.0 (17763)";"Edition Bureautique -WINSRV19-10.102.17.6";;"10.102.122.3";"21/09/2025 14:39:57";
"CN=AKWAPDDK101,CN=Computers,DC=sabc,DC=cm";"AKWAPDDK101";"Windows Server 2019 Standard";"10.0 (17763)";"Relais D?ploiement d'applications-WINSRV19-10.96.61.135";;"10.96.61.135";"21/09/2025 12:43:21";
"CN=SABCMASS101,CN=Computers,DC=sabc,DC=cm";"SABCMASS101";"Windows Server 2019 Standard";"10.0 (17763)";"ALLSHARE-WINSRV19-10.100.1.171";;"10.100.1.171";"23/09/2025 15:05:48";
"CN=SABCMYAP101,CN=Computers,DC=sabc,DC=cm";"SABCMYAP101";"Windows Server 2019 Standard";"10.0 (17763)";"calcul des freintes-WINSRV19-10.100.1.234";;"10.100.1.234";"24/09/2025 02:40:55";
"CN=SABCKCP102,CN=Computers,DC=sabc,DC=cm";"SABCKCP102";"Windows Server 2019 Standard";"10.0 (17763)";"Gestion electronique des documents-WINSRV19-10.100.1.140";;"10.103.244.33";"26/09/2025 09:42:43";
"CN=SABCSQDIMO201,CN=Computers,DC=sabc,DC=cm";"SABCSQDIMO201";"Windows Server 2019 Standard";"10.0 (17763)";"BD DIMOMAINT PPRD-WINSRV19-10.100.1.166";;"10.103.245.2";"22/09/2025 01:47:00";
"CN=SABCCRM601,CN=Computers,DC=sabc,DC=cm";"SABCCRM601";"Windows Server 2019 Standard";"10.0 (17763)";"ELEADER-WINSRV19-10.100.1.135";;"10.100.1.135";"23/09/2025 07:39:06";
"CN=SABCBO102,CN=Computers,DC=sabc,DC=cm";"SABCBO102";"Windows Server 2019 Standard";"10.0 (17763)";"BI-Service d'aide ? la d?cision-VMWARE-SABCBO102";;"10.103.244.13";"01/10/2025 07:34:56";
"CN=GAROPDDK101,CN=Computers,DC=sabc,DC=cm";"GAROPDDK101";"Windows Server 2019 Standard";"10.0 (17763)";"Relais D?ploiement d'applications-WINSRV19-10.99.1.12";;"10.99.1.12";"27/09/2025 18:53:56";
"CN=SABCBIOM103,CN=Computers,DC=sabc,DC=cm";"SABCBIOM103";"Windows Server 2019 Standard";"10.0 (17763)";"Pointage et de contr?le d'acc?s-WINSRV19-10.100.1.25";;"10.100.1.25";"22/09/2025 01:05:03";
"CN=SABCTSEL102,CN=Computers,DC=sabc,DC=cm";"SABCTSEL102";"Windows Server 2019 Standard";"10.0 (17763)";"DIMOMAINT TSE-WINSRV19-10.100.1.181";;"10.103.240.36";"22/09/2025 22:50:57";
"CN=SABCDIMO201,CN=Computers,DC=sabc,DC=cm";"SABCDIMO201";"Windows Server 2019 Standard";"10.0 (17763)";"DIMOMAINT PPRD-WINSRV19-10.100.1.155";;"10.103.245.1";"27/09/2025 11:23:03";
"CN=SOCAHUSKY101,CN=Computers,DC=sabc,DC=cm";"SOCAHUSKY101";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR INDUSTRIEL -WINSRV19-10.102.7.91";;"10.102.7.91";"24/09/2025 05:06:18";
"CN=NDOKPDDK101,CN=Computers,DC=sabc,DC=cm";"NDOKPDDK101";"Windows Server 2019 Standard";"10.0 (17763)";"Relais D?ploiement d'applications-WINSRV19-10.96.1.12";;"10.96.1.12";"30/09/2025 20:34:33";
"CN=NDOKUPCUT101,CN=Computers,DC=sabc,DC=cm";"NDOKUPCUT101";"Windows Server 2019 Standard";"10.0 (17763)";"Edition Bureautique -WINSRV19-10.96.1.9";;"10.96.1.9";"29/09/2025 16:01:06";
"CN=SABCKPI105,CN=Computers,DC=sabc,DC=cm";"SABCKPI105";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR INDUSTRIEL -WINSRV19-10.100.1.164";;"10.100.1.164";"22/09/2025 14:49:01";
"CN=MESCONDYDE,CN=Computers,DC=sabc,DC=cm";"MESCONDYDE";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR INDUSTRIEL -VMWARE-MESCONDYDE";;"10.97.7.195";"25/09/2025 12:02:57";
"CN=SABCKPI101,CN=Computers,DC=sabc,DC=cm";"SABCKPI101";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR INDUSTRIEL -WINSRV19-10.100.1.240";;"10.100.1.240";"22/09/2025 13:17:16";
"CN=SABCDIMOB101,CN=Computers,DC=sabc,DC=cm";"SABCDIMOB101";"Windows Server 2019 Standard";"10.0 (17763)";"DIMOMAINT-WINSRV19-10.100.1.88";;"10.103.244.21";"21/09/2025 11:40:27";
"CN=SABCGEDO101,CN=Computers,DC=sabc,DC=cm";"SABCGEDO101";"Windows Server 2019 Standard";"10.0 (17763)";"Gestion des dol?ances/r?clamationss-WINSRV19-10.100.1.198";;"10.103.244.29";"26/09/2025 08:14:49";
"CN=SABCPASDO102,CN=Computers,DC=sabc,DC=cm";"SABCPASDO102";"Windows Server 2019 Standard";"10.0 (17763)";"passerelle de donnees POWER BI-WINSRV19-10.100.1.159";;"10.103.248.34";"29/09/2025 06:24:43";
"CN=SABCUPCUT102,CN=Computers,DC=sabc,DC=cm";"SABCUPCUT102";"Windows Server 2019 Standard";"10.0 (17763)";"Edition Bureautique -WINSRV19-10.100.1.192";;"10.100.1.192";"21/09/2025 21:39:47";
"CN=SABCGED103,CN=Computers,DC=sabc,DC=cm";"SABCGED103";"Windows Server 2016 Standard";"10.0 (14393)";"Gestion electronique des documents-WINSRV16-10.100.1.127";;"10.103.244.28";"23/09/2025 21:08:14";
"CN=SABCGED105,CN=Computers,DC=sabc,DC=cm";"SABCGED105";"Windows Server 2019 Standard";"10.0 (17763)";"Gestion documentaire-WINSRV2019-10.100.1.204";;"10.100.1.204";"28/09/2025 02:18:48";
"CN=SABCWIFI101,CN=Computers,DC=sabc,DC=cm";"SABCWIFI101";"Windows Server 2019 Standard";"10.0 (17763)";"WIFI-WINSRV19-10.100.1.94";;"10.100.1.94";"21/09/2025 12:48:46";
"CN=BONAPDDK101,CN=Computers,DC=sabc,DC=cm";"BONAPDDK101";"Windows Server 2019 Standard";"10.0 (17763)";"Relais D?ploiement d'applications-WINSRV19-10.96.17.8";;"10.96.122.4";"29/09/2025 21:52:58";
"CN=SOCASOFT101,CN=Computers,DC=sabc,DC=cm";"SOCASOFT101";"Windows Server 2019 Standard";"10.0 (17763)";"serveur d'application SOCAVER-WINSRV19-10.102.1.7";;"10.102.1.7";"27/09/2025 14:01:56";
"CN=SIACPDDK101,CN=Computers,DC=sabc,DC=cm";"SIACPDDK101";"Windows Server 2019 Standard";"10.0 (17763)";"Relais D?ploiement d'applications-WINSRV19-10.102.33.8";;"10.102.33.8";"24/09/2025 14:02:29";
"CN=SABCBI102,CN=Computers,DC=sabc,DC=cm";"SABCBI102";"Windows Server 2019 Standard";"10.0 (17763)";"BI-Service d'aide ? la d?cision Prevente-WINSRV19-10.100.1.232";;"10.103.244.10";"01/10/2025 06:50:43";
"CN=SEMCPDDK101,CN=Computers,DC=sabc,DC=cm";"SEMCPDDK101";"Windows Server 2019 Standard";"10.0 (17763)";"Relais D?ploiement d'applications-WINSRV19-10.102.17.15";;"10.102.122.4";"30/09/2025 07:20:07";
"CN=BAFOPDDK101,CN=Computers,DC=sabc,DC=cm";"BAFOPDDK101";"Windows Server 2019 Standard";"10.0 (17763)";"Relais D?ploiement d'applications-WINSRV19-10.98.1.6";;"10.98.1.6";"29/09/2025 15:52:55";
"CN=SABCOMNI101,CN=Computers,DC=sabc,DC=cm";"SABCOMNI101";"Windows Server 2019 Standard";"10.0 (17763)";"Communication unifi?e-WINSRV19-10.100.1.175";;"10.100.1.175";"29/09/2025 11:22:13";
"CN=SIACUPCUT101,CN=Computers,DC=sabc,DC=cm";"SIACUPCUT101";"Windows Server 2019 Standard";"10.0 (17763)";"Edition Bureautique -WINSRV19-10.102.33.9";;"10.102.33.9";"29/09/2025 21:51:52";
"CN=SABCDIMOBI101,CN=Computers,DC=sabc,DC=cm";"SABCDIMOBI101";"Windows Server 2019 Standard";"10.0 (17763)";"DIMOMAINT-WINSRV19-10.100.1.76";;"10.103.244.22";"01/10/2025 02:34:23";
"CN=YAOUVPRX101,CN=Computers,DC=sabc,DC=cm";"YAOUVPRX101";"Windows Server 2019 Standard";"10.0 (17763)";"Sauvegarde  serveurs X86 SOCAVER-WINSRV19-10.97.0.96";;"10.97.241.38";"29/09/2025 18:27:48";
"CN=BONAUPCUT101,CN=Computers,DC=sabc,DC=cm";"BONAUPCUT101";"Windows Server 2019 Standard";"10.0 (17763)";"Edition Bureautique -WINSRV19-10.96.17.9";;"10.96.122.3";"22/09/2025 05:11:24";
"CN=SOCAPDDK101,CN=Computers,DC=sabc,DC=cm";"SOCAPDDK101";"Windows Server 2019 Standard";"10.0 (17763)";"Relais D?ploiement d'applications-WINSRV19-10.102.1.27";;"10.102.1.27";"30/09/2025 19:47:54";
"CN=SABCGED104,CN=Computers,DC=sabc,DC=cm";"SABCGED104";"Windows Server 2019 Standard";"10.0 (17763)";"Gestion documentaire-WINSRV2019-10.100.1.203";;"10.100.1.203";"27/09/2025 20:02:01";
"CN=SABCPDDK101,CN=Computers,DC=sabc,DC=cm";"SABCPDDK101";"Windows Server 2019 Standard";"10.0 (17763)";"Relais D?ploiement d'applications-WINSRV19-10.100.1.125";;"10.100.1.125";"22/09/2025 04:23:02";
"CN=SABCSQDIMO101,CN=Computers,DC=sabc,DC=cm";"SABCSQDIMO101";"Windows Server 2019 Standard";"10.0 (17763)";"DIMOMAINT-WINSRV19-10.100.1.131";;"10.103.244.42";"21/09/2025 12:25:24";
"CN=SERVEURDI01,CN=Computers,DC=sabc,DC=cm";"SERVEURDI01";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR INDUSTRIEL -WINSRV19-10.100.1.221";;"10.100.1.221";"26/09/2025 09:27:37";
"CN=SOUAPDDK101,CN=Computers,DC=sabc,DC=cm";"SOUAPDDK101";"Windows Server 2019 Standard";"10.0 (17763)";"Relais D?ploiement d'applications-WINSRV19-10.99.77.137";;"10.99.77.137";"28/09/2025 01:21:29";
"CN=SABCBICRM101,CN=Computers,DC=sabc,DC=cm";"SABCBICRM101";"Windows Server 2019 Standard";"10.0 (17763)";"Repoting reclamations clients-WINSRV19-10.100.1.96";;"10.103.244.11";"27/09/2025 23:15:17";
"CN=SOCAFICH101,CN=Computers,DC=sabc,DC=cm";"SOCAFICH101";"Windows Server 2019 Standard";"10.0 (17763)";"Partage de fichiers-WINSRV19-10.102.1.9";;"10.102.1.9";"27/09/2025 03:48:42";
"CN=YAOUSIN002,CN=Computers,DC=sabc,DC=cm";"YAOUSIN002";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR INDUSTRIEL -VMWARE-YAOUSIN002";;"10.97.7.130";"06/09/2025 10:45:33";
"CN=SABCWEF101,CN=Computers,DC=sabc,DC=cm";"SABCWEF101";"Windows Server 2019 Standard";"10.0 (17763)";"WEF-WINSRV2019-10.100.1.233";;"10.100.1.233";"30/09/2025 03:28:56";
"CN=NDOKDOMC003,OU=Domain Controllers,DC=sabc,DC=cm";"NDOKDOMC003";"Windows Server 2019 Standard";"10.0 (17763)";"Active Directory-WINSRV2019-10.96.1.4";;"10.96.1.4";"25/09/2025 01:24:36";
"CN=SABCERP601,CN=Computers,DC=sabc,DC=cm";"SABCERP601";"Windows Server 2019 Standard";"10.0 (17763)";"ERP-M3-WINSRV16-10.100.1.43";;"10.103.246.10";"27/09/2025 13:04:06";
"CN=GUINUPCUT101,CN=Computers,DC=sabc,DC=cm";"GUINUPCUT101";"Windows Server 2019 Standard";"10.0 (17763)";"Edition bureautique-WINSRV2019-10.102.1.30";;"10.102.1.30";"28/09/2025 22:39:31";
"CN=MESCONDBAF,CN=Computers,DC=sabc,DC=cm";"MESCONDBAF";"Windows Server 2019 Standard";"10.0 (17763)";"Serveur MES -WINSRV2019-10.98.7.142";;"10.98.7.142";"27/09/2025 21:40:01";
"CN=MESSGXBAF,CN=Computers,DC=sabc,DC=cm";"MESSGXBAF";"Windows Server 2019 Standard";"10.0 (17763)";"Serveur MES -WINSRV2019-10.98.7.143";;"10.98.7.143";"24/09/2025 13:28:20";
"CN=MESCAVESBAF,CN=Computers,DC=sabc,DC=cm";"MESCAVESBAF";"Windows Server 2019 Standard";"10.0 (17763)";"Serveur MES -WINSRV2019-10.98.7.144";;"10.98.7.144";"24/09/2025 09:43:09";
"CN=MESFILTBAF,CN=Computers,DC=sabc,DC=cm";"MESFILTBAF";"Windows Server 2019 Standard";"10.0 (17763)";"Serveur MES -WINSRV2019-10.98.7.145";;"10.98.7.145";"26/09/2025 00:14:59";
"CN=MESTTEBAF,CN=Computers,DC=sabc,DC=cm";"MESTTEBAF";"Windows Server 2019 Standard";"10.0 (17763)";"Serveur MES -WINSRV2019-10.98.7.146";;"10.253.130.60";"24/09/2025 08:33:54";
"CN=SABCDIMO601,CN=Computers,DC=sabc,DC=cm";"SABCDIMO601";"Windows Server 2019 Standard";"10.0 (17763)";"Dimomaint-WINSRV2019-10.100.1.205";;"10.103.246.3";"24/09/2025 12:13:15";
"CN=SABCBO101,CN=Computers,DC=sabc,DC=cm";"SABCBO101";"Windows Server 2019 Standard";"10.0 (17763)";"Reporting BO-WINSRV2019-10.100.1.206";;"10.103.244.12";"24/09/2025 10:45:14";
"CN=GUINMORP101,CN=Computers,DC=sabc,DC=cm";"GUINMORP101";"Windows Server 2019 Standard";"10.0 (17763)";"PONT BASCULE-WINSRV2019-10.102.1.31";;"10.102.1.31";"30/09/2025 04:35:01";
"CN=MESSGXYDECP,CN=Computers,DC=sabc,DC=cm";"MESSGXYDECP";"Windows Server 2019 Standard";"10.0 (17763)";"Serveur MES -WINSRV2019-10.97.7.151";;"10.97.7.151";"23/09/2025 20:35:33";
"CN=MESTTEYDEUBG,CN=Computers,DC=sabc,DC=cm";"MESTTEYDEUBG";"Windows Server 2019 Standard";"10.0 (17763)";"Serveur MES -WINSRV2019-10.97.7.155";;;"14/06/2025 06:20:04";
"CN=MESSGXUBG,CN=Computers,DC=sabc,DC=cm";"MESSGXUBG";"Windows Server 2019 Standard";"10.0 (17763)";"Serveur MES -WINSRV2019-10.97.7.153";;"10.97.7.155";"30/09/2025 06:34:23";
"CN=MESCONDYDEUBG,CN=Computers,DC=sabc,DC=cm";"MESCONDYDEUBG";"Windows Server 2019 Standard";"10.0 (17763)";"Serveur MES -WINSRV2019-10.97.7.154";;"10.97.7.154";"23/09/2025 13:28:05";
"CN=MESSGXTC,CN=Computers,DC=sabc,DC=cm";"MESSGXTC";"Windows Server 2019 Standard";"10.0 (17763)";"Serveur MES -WINSRV2019-10.97.7.152";;"10.97.7.152";"22/09/2025 14:42:20";
"CN=MESCONDYDETC,CN=Computers,DC=sabc,DC=cm";"MESCONDYDETC";"Windows Server 2019 Standard";"10.0 (17763)";"Serveur MES -WINSRV2019-10.97.7.161";;"10.97.7.161";"20/04/2025 10:19:22";
"CN=SIACDOMC002,OU=Domain Controllers,DC=sabc,DC=cm";"SIACDOMC002";"Windows Server 2019 Standard";"10.0 (17763)";"Active Directory-WINSRV2019-10.102.33.4";;"10.102.33.4";"30/09/2025 09:20:27";
"CN=MESCONDGAROU,CN=Computers,DC=sabc,DC=cm";"MESCONDGAROU";"Windows Server 2019 Standard";"10.0 (17763)";"Serveur MES -WINSRV2019-10.99.7.180";;"10.99.7.180";"01/10/2025 06:09:00";
"CN=SABCSSIS601,CN=Computers,DC=sabc,DC=cm";"SABCSSIS601";"Windows Server 2019 Standard";"10.0 (17763)";"SSIS-WINSRV2019-10.100.1.249";;"10.103.246.2";"30/09/2025 23:43:51";
"CN=YAOUVPRX102,CN=Computers,DC=sabc,DC=cm";"YAOUVPRX102";"Windows Server 2019 Standard";"10.0 (17763)";"Sauvegarde-WINSRV2019-10.97.0.97";;"10.97.240.42";"22/09/2025 23:39:00";
"CN=SABCVPRX105,CN=Computers,DC=sabc,DC=cm";"SABCVPRX105";"Windows Server 2019 Standard";"10.0 (17763)";"Sauvegarde-WINSRV2019-10.100.3.101";;"10.100.3.101";"28/09/2025 00:48:40";
"CN=SABCFUTU101,CN=Computers,DC=sabc,DC=cm";"SABCFUTU101";"Windows Server 2016 Standard";"10.0 (14393)";"FuturMaster-WINSRV2016-10.100.1.68";;"10.100.1.68";"24/09/2025 19:14:58";
"CN=SABCWIFI601,CN=Computers,DC=sabc,DC=cm";"SABCWIFI601";"Windows Server 2019 Standard";"10.0 (17763)";"WIFI-WINSRV2019-10.100.1.239";;"10.100.1.239";"25/09/2025 07:14:39";
"CN=SABCBO601,CN=Computers,DC=sabc,DC=cm";"SABCBO601";"Windows Server 2019 Standard";"10.0 (17763)";"Reporting BO-WINSRV2019-10.100.1.235";;"10.103.246.7";"28/09/2025 10:35:25";
"CN=SABCSQCAIS601,CN=Computers,DC=sabc,DC=cm";"SABCSQCAIS601";"Windows Server 2019 Standard";"10.0 (17763)";"DIGITALISATION CAISSE DEV-WINSRV2019-10.100.1.188";;"10.100.1.188";"29/09/2025 00:15:33";
"CN=SABCSSIS101,CN=Computers,DC=sabc,DC=cm";"SABCSSIS101";"Windows Server 2019 Standard";"10.0 (17763)";"SSIS-WINSRV2019-10.100.1.170";;"10.103.244.45";"23/09/2025 14:44:37";
"CN=SABCPASDO101,CN=Computers,DC=sabc,DC=cm";"SABCPASDO101";"Windows Server 2019 Standard";"10.0 (17763)";"Passerelle des donn?es-WINSRV2019-10.237.249.7";;"10.103.248.33";"23/09/2025 23:39:58";
"CN=BALIFICH003,CN=Computers,DC=sabc,DC=cm";"BALIFICH003";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR FICHIER-WINSRV2019-10.100.1.236";;"10.100.1.236";"27/09/2025 11:04:53";
"CN=BALISHAR003,CN=Computers,DC=sabc,DC=cm";"BALISHAR003";"Windows Server 2019 Standard";"10.0 (17763)";"SHAREPOINT-WINSRV2019-10.100.1.113";;"10.100.1.113";"31/08/2025 03:34:55";
"CN=SABCISO101,CN=Computers,DC=sabc,DC=cm";"SABCISO101";"Windows Server 2019 Standard";"10.0 (17763)";"ERP-M3-WINSRV19-10.100.1.53";;"10.103.244.30";"21/09/2025 22:41:18";
"CN=SABCAMPLI101,CN=Computers,DC=sabc,DC=cm";"SABCAMPLI101";"Windows Server 2016 Standard";"10.0 (14393)";"Amplitude RH -Paie-WINSRV16-10.100.1.105";;"10.100.1.105";"26/09/2025 18:50:10";
"CN=PONTBBRASSYDE,CN=Computers,DC=sabc,DC=cm";"PONTBBRASSYDE";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR INDUSTRIEL-WINSRV2019-10.97.7.168";;"10.97.7.168";"24/09/2025 01:37:11";
"CN=PONTBBRASSBAF,CN=Computers,DC=sabc,DC=cm";"PONTBBRASSBAF";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR INDUSTRIEL-WINSRV2019-10.98.7.152";;"10.98.7.152";"23/09/2025 03:58:41";
"CN=BALIBI601,CN=Computers,DC=sabc,DC=cm";"BALIBI601";"Windows Server 2019 Standard";"10.0 (17763)";"BI-Service d'aide ? la d?cision-WINSRV19-10.100.1.174";;"10.103.246.1";"22/09/2025 06:36:22";
"CN=PONTBBRASSKOUM,CN=Computers,DC=sabc,DC=cm";"PONTBBRASSKOUM";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR INDUSTRIEL-WINSRV2019-10.96.75.141";;"10.96.75.141";"24/09/2025 13:12:19";
"CN=SABCDIMO101,CN=Computers,DC=sabc,DC=cm";"SABCDIMO101";"Windows Server 2019 Standard";"10.0 (17763)";"Dimomaint-WINSRV2019-10.100.1.230";;"10.103.244.18";"22/09/2025 04:25:28";
"CN=vm-CMRSRV23001-,OU=Domain Controllers,DC=sabc,DC=cm";"vm-CMRSRV23001-";"Windows Server 2019 Datacenter";"10.0 (17763)";"Active Directory-WINSRV2019-10.10.96.36";;"10.10.96.36";"22/09/2025 06:27:43";
"CN=SABCDIMO102,CN=Computers,DC=sabc,DC=cm";"SABCDIMO102";"Windows Server 2019 Standard";"10.0 (17763)";"Dimomaint-WINSRV2019-10.100.1.227";;"10.103.244.19";"24/09/2025 10:38:09";
"CN=SABCADMIN,CN=Computers,DC=sabc,DC=cm";"SABCADMIN";"Windows Server 2022 Standard";"10.0 (20348)";"Administration-WINSRV2022-10.100.1.93";;"10.100.1.93";"30/09/2025 00:37:07";
"CN=SABCDIMO100,CN=Computers,DC=sabc,DC=cm";"SABCDIMO100";"Windows Server 2019 Standard";"10.0 (17763)";"Dimomaint-WINSRV2019-10.100.1.18";;"10.100.1.18";"30/09/2025 22:45:26";
"CN=MESSGXGARO,CN=Computers,DC=sabc,DC=cm";"MESSGXGARO";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR DI-WINSRV2019-10.99.7.133";;;"15/06/2025 07:53:24";
"CN=SABCRADI102,CN=Computers,DC=sabc,DC=cm";"SABCRADI102";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR RADIUS-WINSRV2019-10.97.1.24";;"10.97.240.39";"30/09/2025 08:32:44";
"CN=SABCSHARG101,CN=Computers,DC=sabc,DC=cm";"SABCSHARG101";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR SHAREGATE-WINSRV2019-10.100.1.228";;"10.100.1.228";"25/09/2025 14:31:21";
"CN=SOCASHARG101,CN=Computers,DC=sabc,DC=cm";"SOCASHARG101";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR SHAREGATE-WINSRV2019-10.102.1.32";;"10.102.1.32";"23/09/2025 21:00:06";
"CN=SIACSHARG101,CN=Computers,DC=sabc,DC=cm";"SIACSHARG101";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR SHAREGATE-WINSRV2019-10.102.33.11";;"10.102.33.11";"27/09/2025 00:47:39";
"CN=NDOKSHARG101,CN=Computers,DC=sabc,DC=cm";"NDOKSHARG101";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR SHAREGATE-WINSRV2019-10.96.1.17";;"10.96.1.17";"30/09/2025 20:12:02";
"CN=YAOUSHARG101,CN=Computers,DC=sabc,DC=cm";"YAOUSHARG101";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR SHAREGATE-WINSRV2019-10.97.1.33";;"10.97.240.43";"27/09/2025 05:51:22";
"CN=INDUSBI101,CN=Computers,DC=sabc,DC=cm";"INDUSBI101";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR INDUSTRIEL-WINSRV2019-10.97.7.165";;"10.97.7.165";"25/09/2025 19:12:16";
"CN=SEMCSHARG101,CN=Computers,DC=sabc,DC=cm";"SEMCSHARG101";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR SHAREGATE-WINSRV2019-10.102.17.20";;"10.102.122.10";"23/09/2025 09:34:47";
"CN=BAFOSHARG101,CN=Computers,DC=sabc,DC=cm";"BAFOSHARG101";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR SHAREGATE-WINSRV2019-10.98.1.17";;"10.98.1.17";"23/09/2025 21:49:31";
"CN=GAROSHARG101,CN=Computers,DC=sabc,DC=cm";"GAROSHARG101";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR SHAREGATE-WINSRV2019-10.99.1.13";;"10.99.1.13";"29/09/2025 21:25:32";
"CN=SABCWEB601,CN=Computers,DC=sabc,DC=cm";"SABCWEB601";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR WEBSERVICE-WINSRV2019-10.100.1.223";;"10.100.1.223";"23/09/2025 22:41:42";
"CN=KOUMUSIN001,CN=Computers,DC=sabc,DC=cm";"KOUMUSIN001";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR INDUSTRIEL-WINSRV2019-10.96.75.145";;"10.96.75.145";"27/09/2025 01:22:19";
"CN=SABCASSET601,CN=Computers,DC=sabc,DC=cm";"SABCASSET601";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR ASSETVIEW-WINSRV2019-10.100.1.241";;"10.100.1.241";"23/09/2025 14:43:03";
"CN=SABCMEC201,CN=Computers,DC=sabc,DC=cm";"SABCMEC201";"Windows Server 2016 Standard";"10.0 (14393)";"ERP-M3-WINSRV16-10.100.1.47";;"10.103.245.8";"28/09/2025 11:02:48";
"CN=MESSGXNDOK,CN=Computers,DC=sabc,DC=cm";"MESSGXNDOK";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR INDUSTRIEL-WINSRV2019-10.96.7.148";;"10.96.7.148";"22/09/2025 15:47:04";
"CN=SABCKPI1031,CN=Computers,DC=sabc,DC=cm";"SABCKPI1031";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR INDUSTRIEL-WINSRV2019-172.19.112.1";;"10.96.75.156";"24/09/2025 12:43:30";
"CN=SABCENERG01,CN=Computers,DC=sabc,DC=cm";"SABCENERG01";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR INDUSTRIEL-WINSRV2019-10.96.75.157";;"10.96.75.157";"29/09/2025 23:21:45";
"CN=PONTBBRASSGARO,CN=Computers,DC=sabc,DC=cm";"PONTBBRASSGARO";"Windows Server 2019 Standard";"10.0 (17763)";"Serveur Industriel-WINSRV2019-10.99.7.184";;"10.99.7.184";"24/09/2025 18:23:21";
"CN=SABCMEC202,CN=Computers,DC=sabc,DC=cm";"SABCMEC202";"Windows Server 2019 Standard";"10.0 (17763)";"ERP-M3-collaborator-WINSRV2019-10.100.1.107";;"10.103.245.6";"27/09/2025 19:02:29";
"CN=SABCMEC102,CN=Computers,DC=sabc,DC=cm";"SABCMEC102";"Windows Server 2019 Standard";"10.0 (17763)";"ERP-M3-collaborator-WINSRV2019-10.100.1.246";;"10.103.244.49";"30/09/2025 05:10:10";
"CN=INFWINJMP01,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"INFWINJMP01";"Windows Server 2019 Standard";"10.0 (17763)";"serveur-test-kyndril-WINSRV2019-10.103.246.122";;"10.103.246.122";"27/09/2025 14:32:37";
"CN=SABCMOS101,CN=Computers,DC=sabc,DC=cm";"SABCMOS101";"Windows Server 2019 Standard";"10.0 (17763)";"Edition MOS-WINSRV2019-10.100.1.56";;"10.103.244.37";"24/09/2025 07:24:54";
"CN=SABCGLPI101,CN=Computers,DC=sabc,DC=cm";"SABCGLPI101";"Windows Server 2019 Standard";"10.0 (17763)";"Gestion des tickets d'incidents-WINSRV2019-10.100.1.222";;"10.100.1.222";"23/09/2025 13:19:22";
"CN=MESFILTGAROU,CN=Computers,DC=sabc,DC=cm";"MESFILTGAROU";"Windows Server 2019 Standard";"10.0 (17763)";"Serveur MES -WINSRV2019-10.99.7.135";;"10.99.7.135";"29/09/2025 06:35:46";
